"Date","Trend"
1963-06-01,50.5499859009509
1963-07-01,50.7915609769316
1963-08-01,50.9218594124645
1963-09-01,51.0521578479973
1963-10-01,51.0925969437687
1963-11-01,51.13303603954
1963-12-01,51.2124651085111
1964-01-01,51.2918941774821
1964-02-01,51.3195774053001
1964-03-01,51.3472606331182
1964-04-01,51.332910283336
1964-05-01,51.3185599335538
1964-06-01,51.3152307356529
1964-07-01,51.3119015377519
1964-08-01,51.2466917692329
1964-09-01,51.1814820007138
1964-10-01,51.099436507544
1964-11-01,51.0173910143742
1964-12-01,51.0021695436046
1965-01-01,50.9869480728349
1965-02-01,51.0214287708707
1965-03-01,51.0559094689065
1965-04-01,51.0685014373283
1965-05-01,51.0810934057501
1965-06-01,51.1167390729859
1965-07-01,51.1523847402217
1965-08-01,51.2087464116908
1965-09-01,51.2651080831598
1965-10-01,51.2101076741971
1965-11-01,51.1551072652344
1965-12-01,51.1182726724195
1966-01-01,51.0814380796047
1966-02-01,51.112333431621
1966-03-01,51.1432287836374
1966-04-01,51.1648375490477
1966-05-01,51.1864463144581
1966-06-01,51.2603088865955
1966-07-01,51.3341714587329
1966-08-01,51.3767507117464
1966-09-01,51.4193299647599
1966-10-01,51.3245540218157
1966-11-01,51.2297780788714
1966-12-01,51.0710832017195
1967-01-01,50.9123883245675
1967-02-01,50.7657499173395
1967-03-01,50.6191115101116
1967-04-01,50.4691543465721
1967-05-01,50.3191971830327
1967-06-01,50.1255010162543
1967-07-01,49.931804849476
1967-08-01,49.9122586163597
1967-09-01,49.8927123832434
1967-10-01,50.0354565604266
1967-11-01,50.1782007376098
1967-12-01,50.3178043885213
1968-01-01,50.4574080394328
1968-02-01,50.6499477806958
1968-03-01,50.8424875219587
1968-04-01,51.105572162538
1968-05-01,51.3686568031174
1968-06-01,51.5121065776925
1968-07-01,51.6555563522677
1968-08-01,51.6581000262413
1968-09-01,51.6606437002148
1968-10-01,51.6433042064817
1968-11-01,51.6259647127485
1968-12-01,51.6424185076558
1969-01-01,51.6588723025632
1969-02-01,51.6094251192515
1969-03-01,51.5599779359399
1969-04-01,51.4958540765671
1969-05-01,51.4317302171944
1969-06-01,51.3188184095274
1969-07-01,51.2059066018605
1969-08-01,51.0103074380425
1969-09-01,50.8147082742245
1969-10-01,50.6258097736335
1969-11-01,50.4369112730426
1969-12-01,50.3648903882627
1970-01-01,50.2928695034828
1970-02-01,50.4111818896612
1970-03-01,50.5294942758396
1970-04-01,50.8181297770667
1970-05-01,51.1067652782937
1970-06-01,51.3961256444364
1970-07-01,51.685486010579
1970-08-01,51.8117048251739
1970-09-01,51.9379236397688
1970-10-01,51.8597000734742
1970-11-01,51.7814765071797
1970-12-01,51.6326371714396
1971-01-01,51.4837978356995
1971-02-01,51.3950064268916
1971-03-01,51.3062150180838
1971-04-01,51.4043396862798
1971-05-01,51.5024643544758
1971-06-01,51.7916379056061
1971-07-01,52.0808114567364
1971-08-01,52.288170986951
1971-09-01,52.4955305171657
1971-10-01,52.5056651728671
1971-11-01,52.5157998285686
1971-12-01,52.3956152469085
1972-01-01,52.2754306652485
1972-02-01,52.0457266634654
1972-03-01,51.8160226616824
1972-04-01,51.4900892419873
1972-05-01,51.1641558222921
1972-06-01,51.0532932234808
1972-07-01,50.9424306246694
1972-08-01,51.1500244650418
1972-09-01,51.3576183054141
1972-10-01,51.6475471650902
1972-11-01,51.9374760247664
1972-12-01,52.149082218596
1973-01-01,52.3606884124257
1973-02-01,52.5668177184242
1973-03-01,52.7729470244227
1973-04-01,52.9770987565794
1973-05-01,53.1812504887361
1973-06-01,53.2699236738147
1973-07-01,53.3585968588934
1973-08-01,53.3597790269587
1973-09-01,53.3609611950241
1973-10-01,53.3397340914344
1973-11-01,53.3185069878448
1973-12-01,53.2131967247971
1974-01-01,53.1078864617494
1974-02-01,52.8838818141665
1974-03-01,52.6598771665836
1974-04-01,52.4176644017903
1974-05-01,52.1754516369971
1974-06-01,52.0981464613507
1974-07-01,52.0208412857043
1974-08-01,52.0449094252961
1974-09-01,52.0689775648879
1974-10-01,52.0824128064227
1974-11-01,52.0958480479576
1974-12-01,52.1555276420577
1975-01-01,52.2152072361577
1975-02-01,52.2730705708604
1975-03-01,52.3309339055631
1975-04-01,52.3984964516855
1975-05-01,52.4660589978078
1975-06-01,52.454766958168
