Date,Value
197810,52.7
197811,45.2
197812,35.5
197901,30.4
197902,21.2
197903,43.4
197904,49.2
197905,61.5
197906,66
197907,72.9
197908,72.3
197909,65.2
197910,53.1
197911,47.9
197912,36.4
198001,30.5
198002,28
198003,37.8
198004,51.6
198005,62.4
198006,67
198007,75.3
198008,75.6
198009,68.2
198010,52.4
198011,40.8
198012,30
198101,23
198102,36.1
198103,38.2
198104,53
198105,60.6
198106,69.9
198107,74.9
198108,71
198109,64.4
198110,50.8
198111,43.6
198112,32.3
198201,22.2
198202,32.6
198203,38.9
198204,47.7
198205,61.6
198206,66
198207,73.7
198208,69.5
198209,64.4
198210,54.1
198211,46.6
198212,39.7
198301,31.5
198302,32.6
198303,42.1
198304,49.3
198305,58.6
198306,69.4
198307,75.7
198308,74.4
198309,66.7
198310,54.5
198311,44.9
198312,31.8
198401,25.3
198402,37.6
198403,34.5
198404,48.7
198405,59.1
198406,71.1
198407,72.4
198408,73.4
198409,62.6
198410,58.7
198411,43.1
198412,40.2
198501,25.4
198502,33.1
198503,42.5
198504,52.9
198505,62.7
198506,66.5
198507,73.4
198508,71.7
198509,66.7
198510,56
198511,48.3
198512,30.8
198601,30.7
198602,29.6
198603,41.6
198604,50.3
198605,63.1
198606,69.2
198607,74.2
198608,70.4
198609,64.5
198610,55.4
198611,42.4
198612,35.9
198701,29.3
198702,30
198703,42.2
198704,50.4
198705,61
198706,71.1
198707,75.9
198708,71.2
198709,65.4
198710,49.9
198711,45.5
198712,36.7
198801,25
198802,32.3
198803,41.3
198804,48.5
198805,60.1
198806,68.8
198807,76.5
198808,75.4
198809,63.4
198810,49.3
198811,45.3
198812,33
198901,34.3
198902,32.4
198903,39.7
198904,48.6
198905,59.4
198906,71.2
198907,73
198908,71.8
198909,66
198910,55.4
198911,43.1
198912,22.7
199001,38
199002,38.3
199003,43.3
199004,50.4
199005,58.5
199006,69.2
199007,74.4
199008,72.6
199009,63.9
199010,58.7
199011,46.6
199012,39.5
199101,31.6
199102,37.3
199103,43
199104,52.4
199105,66
199106,70.9
199107,75
199108,74.2
199109,64.8
199110,55.1
199111,44.9
199112,37.5
199201,32.8
199202,34.6
199203,38
199204,48.3
199205,57.7
199206,66.7
199207,72.5
199208,69.4
199209,64.8
199210,50.8
199211,43.9
199212,35
199301,35.1
199302,28.4
199303,36.6
199304,50.3
199305,61.9
199306,69.3
199307,76.3
199308,73.6
199309,65.1
199310,52.4
199311,43.9
199312,33.8
199401,23.7
199402,28.4
199403,38.7
199404,53.7
199405,58.3
199406,72.2
199407,76.8
199408,70.1
199409,64.2
199410,52.7
199411,48.6
199412,38.9
199501,35.6
199502,28.8
199503,43.3
199504,49.4
199505,59
199506,69.4
199507,76.1
199508,74.3
199509,65.5
199510,57.8
199511,40.5
199512,29.8
199601,28.8
199602,32
199603,36.5
199604,50.5
199605,58.3
199606,70.1
199607,71.7
199608,71.9
199609,66.2
199610,54.1
199611,39.8
199612,38.4
199701,30.3
199702,38
199703,41.2
199704,48.4
199705,57.1
199706,67.8
199707,74
199708,71
199709,64.4
199710,54.2
199711,42.1
199712,36.1
199801,38.8
199802,39.1
199803,43.2
199804,52.4
199805,63.3
199806,68.5
199807,74.4
199808,74.1
199809,68.2
199810,55.2
199811,44.7
199812,40
199901,33.1
199902,35.4
199903,40
199904,50.8
199905,60.5
199906,70.6
199907,78.4
199908,73.8
199909,67.2
199910,53
199911,48.6
199912,37.6
200001,30
200002,35.3
200003,45.6
200004,49.8
200005,62
200006,70.3
200007,71
200008,71
200009,64.4
200010,54.9
200011,43
200012,29
200101,29.8
200102,35
200103,38.2
200104,51.4
200105,61.6
200106,71
200107,71.1
200108,75.5
200109,64.8
200110,55.4
200111,48.8
200112,41.1
200201,36.9
200202,38.4
200203,42.9
200204,53.9
200205,59.2
200206,70.1
200207,76.1
200208,75.8
200209,67.8
200210,54.1
200211,43.2
200212,33.3
200301,26.4
200302,28.2
200303,41.3
200304,48.5
200305,56.9
200306,67.4
200307,74.5
200308,75.1
200309,66.9
200310,52.9
200311,48.5
200312,35.5
200401,24.6
200402,33.1
200403,42.8
200404,51.9
200405,66
200406,69
200407,73.2
200408,72.4
200409,67.6
200410,53.6
200411,46.4
200412,35.6
200501,30.1
200502,34.2
200503,37.1
200504,52.5
200505,56.6
200506,72.1
200507,76
200508,76.4
200509,70.2
200510,56.3
200511,47.4
200512,32.5
200601,38.7
200602,34.2
200603,41.8
200604,53.4
200605,61.4
200606,70.1
